% Model,BioZ_model_sensitivity_leg_4.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 23 2021, 11:31"
% Table,Table 2 - Transimpedance
% freq (Hz),"delta=0.025, d=0.025, wf=0.004, wm=0.05, Impedance (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.05, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.05, Phase (deg)","delta=0.025, d=0.025, wf=0.004, wm=0.052, Impedance (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.052, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.052, Phase (deg)","delta=0.025, d=0.025, wf=0.004, wm=0.054, Impedance (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.054, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.054, Phase (deg)","delta=0.025, d=0.025, wf=0.004, wm=0.056, Impedance (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.056, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.056, Phase (deg)","delta=0.025, d=0.025, wf=0.004, wm=0.058, Impedance (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.058, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.058, Phase (deg)","delta=0.04, d=0.04, wf=0.004, wm=0.05, Impedance (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.05, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.05, Phase (deg)","delta=0.04, d=0.04, wf=0.004, wm=0.052, Impedance (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.052, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.052, Phase (deg)","delta=0.04, d=0.04, wf=0.004, wm=0.054, Impedance (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.054, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.054, Phase (deg)","delta=0.04, d=0.04, wf=0.004, wm=0.056, Impedance (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.056, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.056, Phase (deg)","delta=0.04, d=0.04, wf=0.004, wm=0.058, Impedance (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.058, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.058, Phase (deg)"
976.563,28.084936645363086+0.5129731629840535i,28.08962099851118,-1.0463947219623604,27.868135491686644+0.5288602485561569i,27.873153193449564,-1.0871851633117877,27.831361769719706+0.5121088273990608i,27.83607288049296,-1.0541476165866062,27.691832763440743+0.5179703814956156i,27.696676607753446,-1.0715815259837045,27.40640101396275+0.540719844348132i,27.411734612902745,-1.1302814262937912,17.438179495994746-0.9030550957631931i,17.461546685231394,2.964476122321769,17.189835777557846-0.8936916639831907i,17.213051410185262,2.976101800798155,16.972404938937643-0.8852767377247801i,16.995477172284147,2.985828852224845,16.81746417784302-0.8841086091069883i,16.840687319872973,3.0093183483855954,16.626798601316978-0.8707261227937124i,16.649582448508177,2.997774936915286
1953.13,26.55254495655413+0.6252314938965355i,26.559905084370847,-1.3488916886065123,26.344605500981515+0.6398439552449418i,26.35237445258793,-1.391296305784439,26.28767869646117+0.6232328158039309i,26.295065514104987,-1.358123793760059,26.147170172917413+0.6290215493127107i,26.154735253123892,-1.3780967329251679,25.885691570671042+0.6505198385948461i,25.893864218233542,-1.439567408778255,16.888744201882446-0.619053666068794i,16.90008603996119,2.0992259441366454,16.65039865299491-0.6126777922445399i,16.661667064875722,2.1073382014441666,16.442255058392902-0.6066815853755543i,16.45344383256225,2.1131245320158953,16.29141788947686-0.6077377258106935i,16.302749522486696,2.1363805305252566,16.108508637631758-0.597002167491155i,16.119567677721573,2.12248428818312
3906.25,25.175236832843666+0.6436861785550718i,25.183464445668136,-1.4646324114242253,24.975819922699657+0.6586681437206607i,24.984503687979746,-1.5106674948698688,24.90242928278326+0.6423414616133414i,24.91071228883929,-1.4775785620964732,24.76285076965496+0.6495229281526917i,24.77136771101663,-1.502508404223021,24.52263388466463+0.6717191154775719i,24.531831957915408,-1.5690422648954412,16.458907248503692-0.4552283690291006i,16.465201507507167,1.5843103014932174,16.227950191736454-0.45050833557388614i,16.234202326751408,1.5901945698589863,16.026949561901574-0.4458917351043965i,16.033151022153177,1.5936361405996418,15.8785305616409-0.4485883146512606i,15.88486588778784,1.6182468781783987,15.701631218344573-0.4390983552675607i,15.70776974247113,1.60186714892969
7812.5,23.86005184988585+0.505494789173099i,23.865405910252655,-1.2136765726650922,23.669898228102966+0.5220826950389892i,23.675655270112614,-1.263557838874727,23.58320639026988+0.5068287157127997i,23.58865191131399,-1.2311590021074335,23.44700238448263+0.5166276699073933i,23.452693341431985,-1.2622422136555966,23.227098870714826+0.5413920289581711i,23.233407569252115,-1.335244783413532,16.059492435321317-0.4161936600705758i,16.064884513834066,1.484530340447575,15.834983469841973-0.4116247319946069i,15.840332585212918,1.489047963429309,15.64035872620957-0.4073963593523331i,15.645663708457157,1.4920895001521928,15.493729004047054-0.41103443139559204i,15.499180228471491,1.5196480836619601,15.322411243130091-0.4015173946270352i,15.32767113823191,1.5010684784954853
15625,22.497504391042185+0.16062243225417205i,22.498077771016476,-0.4090600867940031,22.3176827550094+0.17992394368411624i,22.318408011745703,-0.4619054489883573,22.22044957451567+0.16695883178113036i,22.22107680885657,-0.43049787837169184,22.090157155631005+0.1801586877521686i,22.09089179533611,-0.4672716236234857,21.890951876314375+0.2091877583980022i,21.89195134220281,-0.5474961046841016,15.62067690803974-0.5066856120466809i,15.628892391171586,1.8578434258572691,15.403044671808857-0.500587187018823i,15.411176875681708,1.8614139142381774,15.214838657676864-0.4957061551647257i,15.22291167849983,1.8660616925369466,15.069980616834528-0.49954311373107885i,15.078257827555692,1.898558233733643,14.90461108715408-0.48871611957792993i,14.912621335796455,1.8780323782709452
31250,20.893233364182834-0.5198804479420573i,20.899700382789106,1.4253806365922017,20.72590078136841-0.4960504651940596i,20.731836128600545,1.371046466998704,20.62089093413374-0.5035069024400514i,20.62703716286573,1.39873147732473,20.499403607549993-0.4859997384237431i,20.505163837701506,1.3581135858107207,20.323477814875105-0.4513154013131384i,20.32848828819258,1.2721355400288301,15.058358241005408-0.7705049696636479i,15.078057926096845,2.9291516986647306,14.84943030029035-0.7608070704323495i,14.868907412503484,2.9329712365321576,14.66871368484317-0.7535114893296395i,14.688054354898645,2.9406200868127046,14.526098716595243-0.7559298922565176i,14.545754498350263,2.9789525237821115,14.368150847826428-0.7420705058440831i,14.38730090814601,2.956522739210951
62500,18.629966097512806-1.5787744165489244i,18.69674210799373,4.843889624379095,18.480357591070288-1.5494636730851141i,18.545200305417023,4.792687162240795,18.37478579469598-1.546584007036671i,18.439757999816127,4.811178019692083,18.266714322084-1.5249554461791206i,18.330257533309783,4.7721431808851795,18.119487686622847-1.4860052633439125i,18.180320285087465,4.6884168891837605,14.18526130076998-1.2647195994130982i,14.241529195850495,5.094865771368064,13.989740252744468-1.2486928160693083i,14.045357456759936,5.100576001806359,13.820319335284239-1.2364603660346916i,13.875520198032435,5.112461026523812,13.68267350808037-1.2341323466000915i,13.738218115084978,5.15394533670496,13.536181552109156-1.2155409204475234i,13.590649386285508,5.131362912995569
125000,15.391422562196567-2.5352044813964767i,15.598818873574572,9.353510738327426,15.26759295491945-2.5039658790319095i,15.471562292168883,9.313893585955771,15.174581401584533-2.491109464698951i,15.37769641651271,9.322710402361189,15.085515557978965-2.469043109127682i,15.286234118472617,9.295173632827757,14.972548065421279-2.432420430359997i,15.168845200653317,9.227579806515227,12.67407457335662-1.8571475728661824i,12.809416981205958,8.336294173457738,12.502130041733722-1.8339875478007173i,12.635931540884071,8.345425058270028,12.3526048248915-1.815812807775501i,12.48535230231067,8.362495835477217,12.227752824912045-1.8059471303092494i,12.360395794011481,8.401420137191346,12.100670178100131-1.783399130410487i,12.231383045980971,8.383908737853586
250000,11.660577586458317-2.624559752402746i,11.952296161982702,12.684731945396917,11.568425292438405-2.5991778712246827i,11.856820372806222,12.662856037540967,11.49814714006493-2.584455924868095i,11.785024398878821,12.667922334299869,11.431527951179419-2.5672872650318084i,11.716261997744452,12.657451550724527,11.35316388455874-2.5411434365116037i,11.634076678214514,12.616392297925453,10.431595943828597-2.0619813845189583i,10.633435999967459,11.181340430036485,10.295376330198906-2.0373373820706604i,10.49502345823021,11.193562720626739,10.17619818967978-2.0174807114976403i,10.374258432143817,11.21375667290461,10.074611804266965-2.003164187778566i,10.271828939866252,11.245619569446742,9.975277275981057-1.9820639287575688i,10.170286827341004,11.238164108340353
500000,8.454982685083905-1.9453248565798162i,8.6758873322961,12.957133512505683,8.392018751992282-1.9294375300006692i,8.610964401039247,12.948051680804841,8.344155252045653-1.9190935782449117i,8.562000177079064,12.952359328456513,8.298227381606353-1.908378838853423i,8.514839250944492,12.951364710388676,8.247273834608336-1.8937775279958657i,8.461909892486295,12.932338433216648,8.076796524594329-1.6753240510445409i,8.24871825047427,11.718363918618824,7.978987768208071-1.6563979443928858i,8.149104242516659,11.727739138230872,7.892758597050602-1.6407668748756095i,8.06149826080768,11.743533732733503,7.81818045850423-1.6283117442638755i,7.98594670770129,11.764946662624547,7.747250938512138-1.6133849157885578i,7.913463716399493,11.76385393144674
