% Model,BioZ_model_sensitivity_arm_4.mph
% Version,COMSOL 5.5.0.359
% Date,"Feb 22 2021, 19:20"
% Table,Table 7 - Transimpedance
% freq (Hz),"delta=0.025, d=0.025, wf=0.004, wm=0.01, Impedance (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.01, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.004, wm=0.01, Phase (deg)","delta=0.025, d=0.025, wf=0.006, wm=0.01, Impedance (Ω)","delta=0.025, d=0.025, wf=0.006, wm=0.01, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.006, wm=0.01, Phase (deg)","delta=0.025, d=0.025, wf=0.008, wm=0.01, Impedance (Ω)","delta=0.025, d=0.025, wf=0.008, wm=0.01, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.008, wm=0.01, Phase (deg)","delta=0.025, d=0.025, wf=0.01, wm=0.01, Impedance (Ω)","delta=0.025, d=0.025, wf=0.01, wm=0.01, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.01, wm=0.01, Phase (deg)","delta=0.025, d=0.025, wf=0.012, wm=0.01, Impedance (Ω)","delta=0.025, d=0.025, wf=0.012, wm=0.01, Magnitude (Ω)","delta=0.025, d=0.025, wf=0.012, wm=0.01, Phase (deg)","delta=0.04, d=0.04, wf=0.004, wm=0.01, Impedance (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.01, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.004, wm=0.01, Phase (deg)","delta=0.04, d=0.04, wf=0.006, wm=0.01, Impedance (Ω)","delta=0.04, d=0.04, wf=0.006, wm=0.01, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.006, wm=0.01, Phase (deg)","delta=0.04, d=0.04, wf=0.008, wm=0.01, Impedance (Ω)","delta=0.04, d=0.04, wf=0.008, wm=0.01, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.008, wm=0.01, Phase (deg)","delta=0.04, d=0.04, wf=0.01, wm=0.01, Impedance (Ω)","delta=0.04, d=0.04, wf=0.01, wm=0.01, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.01, wm=0.01, Phase (deg)","delta=0.04, d=0.04, wf=0.012, wm=0.01, Impedance (Ω)","delta=0.04, d=0.04, wf=0.012, wm=0.01, Magnitude (Ω)","delta=0.04, d=0.04, wf=0.012, wm=0.01, Phase (deg)"
976.563,55.36791406048428-0.7592252022295725i,55.373119203426434,0.7856115656036577,66.8769115866528+0.3124262759774865i,66.87764135753366,-0.2676645253995516,80.90967472655711+0.11618296973210818i,80.90975814350041,-0.08227432954169474,94.7773010621213-0.9077291469766351i,94.78164784822138,0.5487332761283165,107.374022400797-2.2054324404980434i,107.3966694957365,1.1766738606348044,57.25522311522445-3.2908634652812907i,57.349719758001044,3.289575217373178,58.14880646434585-2.6552666251063783i,58.20939901835746,2.6144984093840944,60.47450701003049-1.9567979760231538i,60.5061571778046,1.853295989606606,64.19541346146866-1.4145309970044764i,64.21099600092182,1.2622949005557174,68.86716745538979-1.095900031265046i,68.87588656567134,0.9116847623523722
1953.13,52.19498443436942-0.48110474365512346i,52.1972016671242,0.5281061196241226,61.578067863310935+0.32744467731572513i,61.57893845947029,-0.30467050778468735,72.61378667736471+0.06571774601798097i,72.61381641566548,-0.05185445671124116,83.26250200544814-0.8218280388291532i,83.26655776200107,0.5655096583992929,92.79500904778479-1.9084935379987655i,92.81463274593636,1.178222968289167,54.64299740876481-2.6033356015532263i,54.70497712337144,2.727658576896399,55.29540132864031-2.0281203260492475i,55.332582446080814,2.1005484406301616,57.1014550295622-1.4284094436598025i,57.119318273521536,1.4329716757444373,59.9632313041493-0.9768709209683948i,59.97118795914538,0.9333324589472999,63.50698231504725-0.7179002261409551i,63.5110398552757,0.6476595114014989
3906.25,49.43056752352618-0.4637690542353994i,49.43274307009017,0.5375465257733096,56.93763197472879+0.15379987989217625i,56.93783969639797,-0.15476693128118785,65.47334883287272-0.16267145714755316i,65.47355091480838,0.14235362830648343,73.5227470920363-0.9692286749927916i,73.52913534228429,0.7552696015624589,80.61257697900692-1.9205594111599567i,80.63545197770092,1.364788719783551,52.54082866105955-2.323046526669259i,52.59215931634569,2.5316336683196967,52.903767337677436-1.7847557386944572i,52.93386393950388,1.932191390228491,54.18347433290228-1.2501013552277982i,54.19789335557815,1.3216728493691852,56.25477311591874-0.8591893800362413i,56.26133401115069,0.875020825557502,58.80946609364889-0.6399089018782433i,58.812947431860124,0.6234137956425001
7812.5,46.792256732029955-0.794932618263374i,46.79900862137767,0.973278620134867,52.62266576694435-0.3606017157508177i,52.623901280852785,0.39261851725694086,59.022169853555056-0.7540769693819129i,59.026986762816,0.7319804964490507,64.90270409921209-1.5313133231154552i,64.92076647640131,1.3515849096091381,69.97934333059277-2.39886188407354i,70.02044723735945,1.963305975862703,50.54269972422355-2.4841935782367273i,50.60371244431756,2.8138457050519574,50.582541005556095-1.9710488563935087i,50.62092934916401,2.2315144802071667,51.33945955394984-1.4864882646477326i,51.36097501656863,1.6584848422558067,52.6789608770265-1.1452390179711074i,52.69140813730045,1.2454123354924977,54.353128788705476-0.960700796622632i,54.36161840068998,1.0126072074023678
15625,44.03416141056789-1.5664282246386847i,44.062013895359925,2.037324985797623,48.30592390693755-1.3234397633020762i,48.32404967829093,1.5693427075757787,52.79552300805557-1.7950900966804966i,52.82603144425412,1.9473522407954353,56.788089406559095-2.539169479466409i,56.84482808570014,2.5601646250901156,60.14351590104036-3.3130878761803615i,60.23469976860504,3.153029699050969,48.32306523655808-3.1262545243466775i,48.42408596150934,3.7015846412309013,47.999645691871706-2.634320478583504i,48.07187983560766,3.141360213613671,48.22395323851413-2.1933729799766297i,48.27380812593604,2.604192620279975,48.862720364065694-1.8916992546660367i,48.89932481586003,2.217074300214688,49.72466360851456-1.7286681752630102i,49.75470293992418,1.991074660698312
31250,40.70035106429265-3.0277686040888057i,40.81281611793743,4.254494106550324,43.38258885349006-2.968999929791039i,43.4840657737298,3.9150804562407733,46.044492342714136-3.43896922269073i,46.17273854140422,4.271374370272272,48.309567125112494-4.05789379253531i,48.479694490036195,4.801443983891005,50.137583903423604-4.64836320755262i,50.35260271507492,5.296873045139237,45.45544525098745-4.362287985871603i,45.664286476821225,5.4817984667042206,44.68815699804634-3.892949239212726i,44.857401057809014,4.978676811442807,44.32174372714172-3.4881398557109833i,44.4587908817528,4.499926736127381,44.23968969371896-3.202294481902072i,44.35543748116305,4.140140063018811,44.30893590046696-3.0223173173327496i,44.41189258068541,3.90210714449257
62500,35.77054405416857-5.064002611039086i,36.12721888515396,8.05776416293025,36.72421993724751-4.998273762693145i,37.062799012030304,7.750500558391067,37.617073492503835-5.21689464821111i,37.977101099359444,7.895657873976031,38.31402286978795-5.490668835741417i,38.705449134849424,8.155361879422951,38.81654544960796-5.719815262118573i,39.23570424083458,8.382500488595324,41.07866537609533-6.124980990333995i,41.53278393285437,8.480534843317704,39.71681809118448-5.626137633347753i,40.11332775970613,8.062664075257832,38.65157676194161-5.183941104673636i,38.997661873001945,7.638911991412893,37.803159369728945-4.822380782741163i,38.1095029454187,7.269704026659657,37.09634294971332-4.527601381324416i,37.37161803442441,6.958523096320932
125000,28.577532047865148-6.377634618664729i,29.280532120778652,12.580520285326983,28.02267982288842-5.963535576376614i,28.650206648937584,12.01394941738553,27.549103823122593-5.691848155916745i,28.130948382292424,11.673480045728706,27.114795326893784-5.480080495200809i,27.663033236672028,11.425945173069442,26.70850146342535-5.278764325516676i,27.22516121579708,11.18005471539554,34.14767351595616-7.4338000608939865i,34.947460421290714,12.281423622463853,32.14984629860898-6.719798683000846i,32.844608558547954,11.805713343395803,30.451669264914486-6.076522822490034i,31.05202554797319,11.284943862476284,28.99539023479187-5.5111731884950075i,29.51449956854173,10.761874936108685,27.735043727743587-5.015191540550973i,28.184832743308288,10.249757210832916
250000,20.44850225582107-5.6293974852208635i,21.20922819324009,15.392034426083672,19.15482273268144-4.895181025578438i,19.770433257610538,14.335602935424,18.08571457125555-4.321120115532068i,18.594761375338518,13.43745297389729,17.199393425977554-3.86786071617567i,17.628938729863886,12.674032943939308,16.459241965540315-3.489031453133933i,16.824981027066904,11.96839420820913,25.3154624513096-6.729922733923473i,26.194741822133814,14.88731535185743,23.051208484773824-5.772552593836096i,23.763008564933703,14.059051216568959,21.167297572175784-4.97653319251495i,21.744433060561544,13.230241228738999,19.583010672266774-4.315550931401248i,20.052887244275638,12.427757328877478,18.243729363175277-3.7651608349467978i,18.628207031000084,11.661045083785638
500000,13.834150499021284-3.6935846082316317i,14.318739025756997,14.948729930570536,12.47338051528213-3.0068034946511943i,12.830669847457948,13.553016698996846,11.394917629217488-2.499962853462094i,11.66593168355369,12.374230257035558,10.536592992858697-2.124413200557896i,10.748624253543504,11.39928611444447,9.846817477652653-1.8292622805372432i,10.015289058694314,10.523976903551903,17.48088716652301-4.545955436523855i,18.062312337006293,14.57705529516807,15.411905427405422-3.671831286715431i,15.843269040870037,13.400694831690878,13.764492410211425-3.0108871536201676i,14.089950062459515,12.338707662335707,12.42757695298043-2.501944492117552i,12.676923726357579,11.382744986247994,11.331896114420843-2.1045991698142075i,11.525675998118674,10.5212934870711
